,Series_Title,Released_Year,Genre,Overview,IMDB_Rating,Director,Stars
485,Un prophète,2009,crime drama,young arab man sent french prison,7.9,jacqu audiard,tahar rahim niel arestrup adel bencherif reda kateb
486,Moon,2009,drama mysteri scifi,astronaut sam bell quintessenti person encount end threeyear stint moon work alongsid comput gerti send earth parcel resourc help diminish planet power problem,7.9,duncan jone,sam rockwel kevin spacey dominiqu mcelligott rosi shaw
487,Låt den rätte komma in,2008,crime drama fantasi,oskar overlook bulli boy find love reveng eli beauti peculiar girl,7.9,toma alfredson,kåre hedebr lina leandersson ragnar henrik dahl
488,District 9,2009,action scifi thriller,violenc ensu extraterrestri race forc live slumlik condit earth find kindr spirit govern agent expos biotechnolog,7.9,neill blomkamp,sharlto copley david jame jason cope nathali boltt
489,The Wrestler,2008,drama sport,fade profession wrestler retir find quest new life outsid ring dispirit struggl,7.9,darren aronofski,mickey rourk marisa tomei evan rachel wood mark margoli
490,Jab We Met,2007,comedi drama romanc,depress wealthi businessman find life chang meet spunki carefre young woman,7.9,imtiaz ali,shahid kapoor kareena kapoor tarun arora dara singh
491,Boyhood,2014,drama,life mason earli childhood arriv colleg,7.9,richard linklat,ellar coltran patricia arquett ethan hawk elijah smith
492,"4 luni, 3 saptamâni si 2 zile",2007,drama,woman assist friend arrang illeg abort s romania,7.9,cristian mungiu,anamaria marinca laura vasiliu vlad ivanov alexandru potocean
493,Star Trek,2009,action adventur scifi,brash jame t kirk tri live father legaci mr spock keep check veng romulan futur creat black hole destroy feder planet time,7.9,jj abram,chri pine zachari quinto simon pegg leonard nimoy
494,In Bruges,2008,comedi crime drama,guiltstricken job gone wrong hitman ray partner await order ruthless boss bruge belgium place world ray want,7.9,martin mcdonagh,colin farrel brendan gleeson ciarán hind elizabeth berrington
495,The Man from Earth,2007,drama fantasi mysteri,impromptu goodby parti professor john oldman mysteri interrog retir scholar reveal colleagu longer stranger past imagin,7.9,richard schenkman,david lee smith toni todd john billingsley ellen crawford
496,Letters from Iwo Jima,2006,action adventur drama,stori battl iwo jima unit state imperi japan world war ii told perspect japanes fought,7.9,clint eastwood,ken watanab kazunari ninomiya tsuyoshi ihara ryô kase
497,The Fall,2006,adventur drama fantasi,hospit outskirt s lo angel injur stuntman begin tell fellow patient littl girl broken arm fantast stori mythic hero thank fractur state mind vivid imagin line fiction realiti blur tale advanc,7.9,tarsem singh,lee pace catinca untaru justin waddel kim uylenbroek
498,Life of Pi,2012,adventur drama fantasi,young man surviv disast sea hurtl epic journey adventur discoveri cast away form unexpect connect survivor fearsom bengal tiger,7.9,ang lee,suraj sharma irrfan khan adil hussain tabu
499,Fantastic Mr. Fox,2009,anim adventur comedi,urban fox resist return farm raid way help commun surviv farmer retali,7.9,we anderson,georg clooney meryl streep murray jason schwartzman
500,C.R.A.Z.Y.,2005,comedi drama,young frenchcanadian grow s s struggl reconcil emerg homosexu father conserv valu cathol belief,7.9,jeanmarc vallé,michel côté marcandré grondin daniel proulx émile vallé
501,Les choristes,2004,drama music,new teacher sever administ boy board school work posit affect student live music,7.9,christoph barrati,gérard jugnot françoi berléand jeanbaptist maunier kad merad
502,Iron Man,2008,action adventur scifi,held captiv afghan cave billionair engin toni stark creat uniqu weapon suit armor fight evil,7.9,jon favreau,robert downey jr gwyneth paltrow terrenc howard jeff bridg
503,Shaun of the Dead,2004,comedi horror,man unev life disrupt zombi apocalyps,7.9,edgar wright,simon pegg nick frost kate ashfield luci davi
504,Gegen die Wand,2004,drama romanc,intent break free strict famili restrict suicid young woman set marriag conveni fortyyearold addict act lead outburst enviou love,7.9,fatih akin,birol ünel sibel kekilli güven kiraç zarah jane mckenzi
505,Mystic River,2003,crime drama mysteri,live men childhood friend shatter famili tragedi,7.9,clint eastwood,sean penn tim robbin kevin bacon emmi rossum
506,Harry Potter and the Prisoner of Azkaban,2004,adventur famili fantasi,harri potter ron hermion return hogwart school witchcraft wizardri year studi delv mysteri surround escap prison pose danger threat young wizard,7.9,alfonso cuarón,daniel radcliff emma watson rupert grint richard griffith
507,Ying xiong,2002,action adventur histori,defens offic nameless summon king qin regard success termin warrior,7.9,yimou zhang,jet li toni chiuwai leung maggi cheung ziyi zhang
508,Hable con ella,2002,drama mysteri romanc,men share odd friendship care women deep coma,7.9,pedro almodóvar,rosario flore javier cámara darío grandinetti leonor watl
509,No Man's Land,2001,comedi drama war,bosnia herzegovina time heaviest fight war side soldier oppos side conflict nino ciki trap man land whilst soldier live boobi trap,7.9,dani tanov,branko djuric rene bitorajac filip sovagov georg siatidi
510,Cowboy Bebop: Tengoku no tobira,2001,anim action crime,terrorist explos releas deadli viru mass bountyhunt bebop crew catch coldblood culprit,7.9,shinichirô watanab,tensai okamura hiroyuki okiura yoshiyuki takei beau billingslea
511,The Bourne Identity,2002,action mysteri thriller,man pick fish boat bulletriddl suffer amnesia race elud assassin attempt regain memori,7.9,doug liman,franka potent matt damon chri cooper clive owen
512,Nueve reinas,2000,crime drama thriller,artist tri swindl stamp collector sell sheet counterfeit rare stamp queen,7.9,fabián bielinski,ricardo darín gastón paul graciela tenenbaum maría merced villagra
513,Children of Men,2006,adventur drama scifi,chaotic world women infertil activist agre help transport miracul pregnant woman sanctuari sea,7.9,alfonso cuarón,juliann moor clive owen chiwetel ejiofor michael cain
514,Almost Famous,2000,adventur comedi drama,highschool boy given chanc write stori roll stone magazin upandcom rock band accompani concert tour,7.9,cameron crow,billi crudup patrick fugit kate hudson franc mcdormand
515,Mulholland Dr.,2001,drama mysteri thriller,car wreck wind mulholland drive render woman amnesiac perki hollywoodhop search clue answer lo angel twist ventur dream realiti,7.9,david lynch,naomi watt laura har justin theroux jeann bate
516,Toy Story 2,1999,anim adventur comedi,woodi stolen toy collector buzz friend set rescu mission save woodi museum toy properti roundup gang jessi prospector bullsey,7.9,john lasset,ash brannon lee unkrich tom hank tim allen
517,Boogie Nights,1997,drama,sex safe pleasur busi busi boom idealist porn produc aspir elev craft art discov hot young talent,7.9,paul thoma anderson,mark wahlberg juliann moor burt reynold lui guzmán
518,Mimi wo sumaseba,1995,anim drama famili,love stori girl love read book boy previous check librari book choos,7.9,yoshifumi kondô,yoko honna issey takahashi takashi tachibana shigeru muroi
519,Once Were Warriors,1994,crime drama,famili descend maori warrior bedevil violent father societ problem treat outcast,7.9,lee tamahori,rena owen temuera morrison mamaengaroa kerrbel julian arahanga
520,True Romance,1993,crime drama romanc,detroit lone pop cultur geek marri girl steal cocain pimp tri sell hollywood owner cocain mob track attempt reclaim,7.9,toni scott,christian slater patricia arquett denni hopper val kilmer
521,Trois couleurs: Bleu,1993,drama music mysteri,woman struggl way live life death husband child,7.9,krzysztof kieslowski,juliett binoch zbigniew zamachowski juli delpi benoît régent
522,Jûbê ninpûchô,1993,anim action adventur,vagabond swordsman aid beauti ninja girl crafti spi confront demon clan killer ghost past leader bent overthrow tokugawa shogun,7.9,yoshiaki kawajiri,kôichi yamadera emi shinohara takeshi aono osamu saka
523,Carlito's Way,1993,crime drama thriller,puerto rican convict just releas prison pledg stay away drug violenc despit pressur lead better life outsid nyc,7.9,brian palma,al pacino sean penn penelop ann miller john leguizamo
524,Edward Scissorhands,1990,drama fantasi romanc,artifici man incomplet construct scissor hand lead solitari life day suburban ladi meet introduc world,7.9,tim burton,johnni depp winona ryder diann wiest anthoni michael hall
525,My Left Foot: The Story of Christy Brown,1989,biographi drama,christi brown born cerebr palsi learn paint write control limb left foot,7.9,jim sheridan,daniel daylewi brenda fricker alison whelan kirsten sheridan
526,Crimes and Misdemeanors,1989,comedi drama,ophthalmologist mistress threaten reveal affair wife marri documentari filmmak infatu woman,7.9,woodi allen,martin landau woodi allen bernstein clair bloom
527,The Untouchables,1987,crime drama thriller,era prohibit unit state feder agent eliot ness set stop ruthless chicago gangster al capon rampant corrupt assembl small handpick team help,7.9,brian palma,kevin costner sean conneri robert niro charl martin smith
528,Hannah and Her Sisters,1986,comedi drama,thanksgiv year apart hannah husband fall love sister lee hypochondriac exhusband rekindl relationship sister holli,7.9,woodi allen,mia farrow diann wiest michael cain barbara hershey
529,Brazil,1985,drama scifi,bureaucrat dystop societi enemi state pursu woman dream,7.9,terri gilliam,jonathan pryce kim greist robert niro katherin helmond
530,This Is Spinal Tap,1984,comedi music,spinal tap england loudest band chronicl film director marti dibergi prove fate tour,7.9,rob reiner,rob reiner michael mckean christoph guest kimberli stringer
531,A Christmas Story,1983,comedi famili,s young boy name ralphi attempt convinc parent teacher santa red ryder bb gun realli perfect christma gift,7.9,bob clark,peter billingsley melinda dillon darren mcgavin scott schwartz
532,The Blues Brothers,1980,action adventur comedi,jake blue just releas prison put old band save cathol home brother elwood rais,7.9,john landi,john belushi dan aykroyd cab calloway john candi
533,Manhattan,1979,comedi drama romanc,life divorc televis writer date teenag girl complic fall love best friend mistress,7.9,woodi allen,woodi allen dian keaton mariel hemingway michael murphi
534,All That Jazz,1979,drama music music,directorchoreograph bob foss tell life stori detail sordid career joe gideon woman drugus dancer,7.9,bob foss,roy scheider jessica lang ann reink leland palmer
535,Dawn of the Dead,1978,action adventur horror,follow evergrow epidem zombi risen dead philadelphia swat team member traffic report televis execut girlfriend seek refug seclud shop mall,7.9,georg romero,david emg ken fore scott h reinig gaylen ross
536,All the President's Men,1976,biographi drama histori,washington post report bob woodward carl bernstein uncov detail waterg scandal lead presid richard nixon resign,7.9,alan j pakula,dustin hoffman robert redford jack warden martin balsam
537,La montaña sagrada,1973,adventur drama fantasi,corrupt greedfuel world power alchemist lead messian charact seven materialist figur holi mountain hope achiev enlighten,7.9,alejandro jodorowski,alejandro jodorowski horacio salina zamira saunder juan ferrara
538,Amarcord,1973,comedi drama famili,seri comed nostalg vignett set s italian coastal town,7.9,federico fellini,magali noël bruno zanin pupella maggio armando brancia
539,Le charme discret de la bourgeoisie,1972,comedi,surreal virtual plotless seri dream center middleclass peopl consist interrupt attempt meal,7.9,lui buñuel,fernando rey delphin seyrig paul frankeur bull ogier
540,"Aguirre, der Zorn Gottes",1972,action adventur biographi,th centuri ruthless insan don lope aguirr lead spanish expedit search el dorado,7.9,werner herzog,klau kinski ruy guerra helena rojo del negro
541,Harold and Maude,1971,comedi drama romanc,young rich obsess death harold find chang forev meet live septuagenarian maud funer,7.9,hal ashbi,ruth gordon bud cort vivian pickl cyril cusack
542,Patton,1970,biographi drama war,world war ii phase career controversi american gener georg s patton,7.9,franklin j schaffner,georg c scott karl malden stephen young michael strong
543,The Wild Bunch,1969,action adventur western,age group outlaw look big score tradit american west disappear,7.9,sam peckinpah,william holden ernest borgnin robert ryan edmond obrien
544,Night of the Living Dead,1968,horror thriller,ragtag group pennsylvanian barricad old farmhous remain safe hord flesheat ghoul ravag east coast unit state,7.9,georg romero,duan jone judith odea karl hardman marilyn eastman
545,The Lion in Winter,1968,biographi drama histori,ad king henri ii son want inherit throne wont commit choic wife various plot forc,7.9,anthoni harvey,peter otool katharin hepburn anthoni hopkin john castl
546,In the Heat of the Night,1967,crime drama mysteri,black polic detect ask investig murder racial hostil southern town,7.9,norman jewison,sidney poitier rod steiger warren oat lee grant
547,Charade,1963,comedi mysteri romanc,romanc suspens ensu pari woman pursu men want fortun murder husband stolen trust,7.9,stanley donen,cari grant audrey hepburn walter matthau jame coburn
548,The Manchurian Candidate,1962,drama thriller,prison war brainwash unwit assassin intern communist conspiraci,7.9,john frankenheim,frank sinatra laurenc harvey janet leigh angela lansburi
549,Spartacus,1960,adventur biographi drama,slave spartacu lead violent revolt decad roman republ,7.9,stanley kubrick,kirk dougla laurenc olivi jean simmon charl laughton
550,L'avventura,1960,drama mysteri,woman disappear mediterranean boat trip search lover best friend attract,7.9,michelangelo antonioni,gabriel ferzetti monica vitti lea massari dominiqu blanchar
551,Hiroshima mon amour,1959,drama romanc,french actress film antiwar film hiroshima affair marri japanes architect share differ perspect war,7.9,alain resnai,emmanuel riva eiji okada stella dassa pierr barbaud
552,The Ten Commandments,1956,adventur drama,mose egyptian princ learn true heritag hebrew divin mission deliver peopl,7.9,cecil b demil,charlton heston yul brynner ann baxter edward g robinson
553,The Searchers,1956,adventur drama western,american civil war veteran embark journey rescu niec comanch,7.9,john ford,john wayn jeffrey hunter vera mile ward bond
554,East of Eden,1955,drama,brother struggl maintain strict bibletot father favor,7.9,elia kazan,jame dean raymond massey juli harri burl ive
555,High Noon,1952,drama thriller western,town marshal despit disagr newlyw bride townspeopl face gang deadli killer high noon gang leader outlaw sent year ago arriv noon train,7.9,fred zinnemann,gari cooper grace kelli thoma mitchel lloyd bridg
556,Strangers on a Train,1951,crime filmnoir thriller,psychopath forc tenni star compli theori stranger away murder,7.9,alfr hitchcock,farley granger robert walker ruth roman leo g carrol
557,Harvey,1950,comedi drama fantasi,insist invis foottal rabbit best friend whimsic middleag man thought famili insan wiser know,7.9,henri koster,jame stewart wallac ford william h lynn victoria horn
558,Miracle on 34th Street,1947,comedi drama famili,nice old man claim santa clau institution insan young lawyer decid defend argu court real thing,7.9,georg seaton,edmund gwenn maureen ohara john payn gene lockhart
559,Notorious,1946,drama filmnoir romanc,woman ask spi group nazi friend south america far ingrati,7.9,alfr hitchcock,cari grant ingrid bergman claud rain loui calhern
560,The Big Sleep,1946,crime filmnoir mysteri,privat detect philip marlow hire wealthi famili complex case he seen murder blackmail love,7.9,howard hawk,humphrey bogart lauren bacal john ridg martha vicker
561,The Lost Weekend,1945,drama filmnoir,desper life chronic alcohol follow fourday drink bout,7.9,billi wilder,ray milland jane wyman phillip terri howard da silva
562,The Philadelphia Story,1940,comedi romanc,rich woman exhusband tabloidtyp report turn just plan remarriag begin learn truth,7.9,georg cukor,cari grant katharin hepburn jame stewart ruth hussey
563,His Girl Friday,1940,comedi drama romanc,newspap editor use trick book ace report exwif remarri,7.9,howard hawk,cari grant rosalind russel ralph bellami gene lockhart
564,The Adventures of Robin Hood,1938,action adventur romanc,princ john norman lord begin oppress saxon mass king richard absenc saxon lord fight outlaw leader rebel guerrilla armi,7.9,michael curtiz,william keighley errol flynn olivia havilland basil rathbon
565,A Night at the Opera,1935,comedi music music,sli busi manag wacki friend opera singer help achiev success humili stuffi snobbish enemi,7.9,sam wood,edmund gould groucho marx chico marx harpo marx
566,King Kong,1933,adventur horror scifi,film crew goe tropic island exot locat shoot discov coloss ape take shine femal blond star captur brought new york citi public exhibit,7.9,merian c cooper,ernest b schoedsack fay wray robert armstrong bruce cabot
567,Freaks,1932,drama horror,circu beauti trapez artist agre marri leader sideshow perform deform friend discov marri inherit,7.9,tod brown,wallac ford leila hyam olga baclanova rosco ate
568,Nosferatu,1922,fantasi horror,vampir count orlok express new resid real estat agent hutter wife,7.9,fw murnau,max schreck alexand granach gustav von wangenheim greta schröder
569,The Gentlemen,2019,action comedi crime,american expat tri sell highli profit marijuana empir london trigger plot scheme briberi blackmail attempt steal domain,7.8,guy ritchi,matthew mcconaughey charli hunnam michel dockeri jeremi strong
570,Raazi,2018,action drama thriller,kashmiri woman agre marri pakistani armi offic order spi pakistan indopakistan war,7.8,meghna gulzar,alia bhatt vicki kaushal rajit kapoor shishir sharma
571,Sound of Metal,2019,drama music,heavymet drummer life thrown freefal begin lose hear,7.8,dariu marder,riz ahm olivia cook paul raci lauren ridloff
572,Forushande,2016,drama,particip product death salesman teacher wife assault new home leav determin perpetr wife traumat object,7.8,asghar farhadi,shahab hosseini taraneh alidoosti babak karimi mina sadati
573,Dunkirk,2017,action drama histori,alli soldier belgium british empir franc surround german armi evacu fierc battl world war ii,7.8,christoph nolan,fionn whitehead barri keoghan mark rylanc tom hardi
574,Perfetti sconosciuti,2016,comedi drama,seven longtim friend dinner decid share content text messag email phone receiv secret start unveil equilibrium trembl,7.8,paolo genoves,giusepp battiston anna foglietta marco giallini edoardo leo
575,Hidden Figures,2016,biographi drama histori,stori team femal africanamerican mathematician serv vital role nasa earli year space program,7.8,theodor melfi,taraji p henson octavia spencer janel moná kevin costner
576,Paddington 2,2017,adventur comedi famili,paddington ben whishaw happili settl brown famili popular member local commun pick seri odd job buy perfect present aunt luci imelda staunton th birthday gift stolen,7.8,paul king,ben whishaw hugh grant hugh bonnevil salli hawkin
577,Udta Punjab,2016,action crime drama,stori revolv drug abus affluent north indian state punjab youth succumb enmass result socioeconom declin,7.8,abhishek chaubey,shahid kapoor alia bhatt kareena kapoor diljit dosanjh
578,Kubo and the Two Strings,2016,anim action adventur,young boy name kubo locat magic suit armour worn late father order defeat veng spirit past,7.8,travi knight,charliz theron art parkinson matthew mcconaughey ralph fienn
579,M.S. Dhoni: The Untold Story,2016,biographi drama sport,untold stori mahendra singh dhoni journey ticket collector trophi collector worldcupwin captain indian cricket team,7.8,neeraj pandey,sushant singh rajput kiara advani anupam kher disha patani
580,Manchester by the Sea,2016,drama,depress uncl ask care teenag nephew boy father die,7.8,kenneth lonergan,casey affleck michel william kyle chandler luca hedg
581,Under sandet,2015,drama histori war,postworld war ii denmark group young german pow forc clear beach thousand land mine watch danish sergeant slowli learn appreci plight,7.8,martin zandvliet,roland møller loui hofmann joel basman mikkel boe følsgaard
582,Rogue One,2016,action adventur scifi,daughter imperi scientist join rebel allianc riski steal plan death star,7.8,gareth edward,felic jone diego luna alan tudyk donni yen
583,Captain America: Civil War,2016,action adventur scifi,polit involv aveng affair caus rift captain america iron man,7.8,anthoni russo,joe russo chri evan robert downey jr scarlett johansson
584,The Hateful Eight,2015,crime drama mysteri,dead wyom winter bounti hunter prison shelter cabin current inhabit collect nefari charact,7.8,quentin tarantino,samuel l jackson kurt russel jennif jason leigh walton goggin
585,Little Women,2019,drama romanc,jo march reflect forth life tell belov stori march sister young women determin live life term,7.8,greta gerwig,saoirs ronan emma watson florenc pugh eliza scanlen
586,Loving Vincent,2017,anim biographi crime,stori depict oil paint anim young man come hometown painter vincent van gogh robert gulaczyk deliv troubl artist final letter end investig final day,7.8,dorota kobiela,hugh welchman dougla booth jerom flynn robert gulaczyk
587,Pride,2014,biographi comedi drama,uk gay activist work help miner lengthi strike nation union minework summer,7.8,matthew warchu,nighi imelda staunton domin west paddi considin
588,Le passé,2013,drama mysteri,iranian man desert french wife children return homeland wife start new relationship realiti husband confront wife request divorc,7.8,asghar farhadi,bérénice bejo tahar rahim ali mosaffa paulin burlet
589,La grande bellezza,2013,drama,jep gambardella seduc way lavish nightlif rome decad th birthday shock past jep look past nightclub parti timeless landscap absurd exquisit beauti,7.8,paolo sorrentino,toni servillo carlo verdon sabrina ferilli carlo buccirosso
590,The Lunchbox,2013,drama romanc,mistaken deliveri mumbai famous effici lunchbox deliveri connect young housewif older man dusk life build fantasi world note lunchbox,7.8,ritesh batra,irrfan khan nimrat kaur nawazuddin siddiqui lillet dubey
591,Vicky Donor,2012,comedi romanc,man brought infertil doctor suppli sperm biggest sperm donor clinic,7.8,shoojit sircar,ayushmann khurrana yami gautam annu kapoor dolli ahluwalia
592,Big Hero 6,2014,anim action adventur,special bond develop plussiz inflat robot baymax prodigi hiro hamada team group friend form band hightech hero,7.8,don hall,chri william ryan potter scott adsit jami chung
593,About Time,2013,comedi drama fantasi,age tim discov travel time chang happen happen life decis make world better place get girlfriend turn easi think,7.8,richard curti,domhnal gleeson rachel mcadam nighi lydia wilson
594,English Vinglish,2012,comedi drama famili,quiet sweet temper housewif endur small slight welleduc husband daughter day inabl speak understand english,7.8,gauri shind,sridevi adil hussain mehdi nebbou priya anand
595,Kaze tachinu,2013,anim biographi drama,look life jiro horikoshi man design japanes fighter plane world war ii,7.8,hayao miyazaki,hideaki anno hidetoshi nishijima miori takimoto masahiko nishimura
596,Toy Story 4,2019,anim adventur comedi,new toy call forki join woodi gang road trip alongsid old new friend reveal big world toy,7.8,josh cooley,tom hank tim allen anni pott toni hale
597,La migliore offerta,2013,crime drama mysteri,lone art expert work mysteri reclus heiress find art worth examin,7.8,giusepp tornator,geoffrey rush jim sturgess sylvia hoek donald sutherland
598,Moonrise Kingdom,2012,comedi drama romanc,pair young lover flee new england town caus local search parti fan,7.8,we anderson,jare gilman kara hayward bruce willi murray
599,How to Train Your Dragon 2,2014,anim action adventur,hiccup toothless discov ice cave home hundr new wild dragon mysteri dragon rider friend center battl protect peac,7.8,dean debloi,jay baruchel cate blanchett gerard butler craig ferguson
600,The Big Short,2015,biographi comedi drama,group investor bet mortgag market research discov flaw corrupt market,7.8,adam mckay,christian bale steve carel ryan gosl brad pitt
601,Kokuhaku,2010,drama thriller,psycholog thriller griev mother turn coldblood aveng twisti master plan pay respons daughter death,7.8,tetsuya nakashima,takako matsu yoshino kimura masaki okada yukito nishii
602,Ang-ma-reul bo-at-da,2010,action crime drama,secret agent exact reveng serial killer seri captur releas,7.8,jeewoon kim,lee byunghun choi minsik jeon gookhwan hojin chun
603,The Girl with the Dragon Tattoo,2011,crime drama mysteri,journalist mikael blomkvist aid search woman miss year lisbeth saland young comput hacker,7.8,david fincher,daniel craig rooney mara christoph plummer stellan skarsgård
604,Captain Phillips,2013,adventur biographi crime,true stori captain richard phillip hijack somali pirat usflag mv maersk alabama american cargo ship hijack year,7.8,paul greengrass,tom hank barkhad abdi barkhad abdirahman catherin keener
605,Ajeossi,2010,action crime drama,quiet pawnshop keeper violent past take drugandorgan traffick ring hope save child friend,7.8,jeongbeom lee,won bin saeron kim taehoon kim heewon kim
606,Straight Outta Compton,2015,biographi drama histori,rap group nwa emerg mean street compton lo angel california mid revolution hip hop cultur music tale life hood,7.8,f gari gray,oshea jackson jr corey hawkin jason mitchel neil brown jr
607,Madeo,2009,crime drama mysteri,mother desper search killer frame son girl horrif murder,7.8,bong joon ho,hyeja kim won bin jin goo jemun yun
608,Chugyeokja,2008,action crime thriller,disgrac expoliceman run small ring prostitut find race time women goe miss,7.8,hongjin na,kim yoonseok jungwoo ha yeonghi seo yoojeong kim
609,The Hobbit: The Desolation of Smaug,2013,adventur fantasi,dwarv bilbo baggin gandalf grey continu quest reclaim erebor homeland smaug bilbo baggin possess mysteri magic ring,7.8,peter jackson,ian mckellen martin freeman richard armitag ken stott
610,Das weiße Band - Eine deutsche Kindergeschichte,2009,drama histori mysteri,strang event happen small villag north germani year world war ritual punish respons,7.8,michael hanek,christian friedel ernst jacobi leoni benesch ulrich tukur
611,Män som hatar kvinnor,2009,crime drama mysteri,journalist aid young femal hacker search killer woman dead year,7.8,niel arden oplev,michael nyqvist noomi rapac ewa fröling lena endr
612,The Trial of the Chicago 7,2020,drama histori thriller,stori peopl trial stem variou charg surround upris democrat nation convent chicago illinoi,7.8,aaron sorkin,eddi redmayn alex sharp sacha baron cohen jeremi strong
613,Druk,2020,comedi drama,friend high school teacher test theori improv live maintain constant level alcohol blood,7.8,thoma vinterberg,mad mikkelsen thoma bo larsen magnu millang lar ranth
614,The Fighter,2010,biographi drama sport,base stori micki ward fledgl boxer tri escap shadow famou troubl older box brother shot great,7.8,david o russel,mark wahlberg christian bale ami adam melissa leo
615,Taken,2008,action thriller,retir cia agent travel europ reli old skill save estrang daughter kidnap trip pari,7.8,pierr morel,liam neeson maggi grace famk janssen leland orser
616,The Boy in the Striped Pyjamas,2008,drama histori war,innoc eye bruno eightyearold son command german concentr camp forbidden friendship jewish boy camp fenc startl unexpect consequ,7.8,mark herman,asa butterfield david thewli rupert friend zac mattoon obrien
617,Once,2007,drama music romanc,modernday music busker immigr event week dublin write rehears record song tell love stori,7.8,john carney,glen hansard markéta irglová hugh walsh gerard hendrick
618,The Hobbit: An Unexpected Journey,2012,adventur fantasi,reluct hobbit bilbo baggin set lone mountain spirit group dwarv reclaim mountain home gold dragon smaug,7.8,peter jackson,martin freeman ian mckellen richard armitag andi serki
619,Auf der anderen Seite,2007,drama,turkish man travel istanbul daughter father girlfriend,7.8,fatih akin,baki davrak nurgül yesilçay tuncel kurtiz nursel köse
620,Atonement,2007,drama mysteri romanc,thirteenyearold fledgl writer brioni talli irrevoc chang cours live accus older sister lover crime did commit,7.8,joe wright,keira knightley jame mcavoy brenda blethyn saoirs ronan
621,Drive,2011,crime drama,mysteri hollywood stuntman mechan moonlight getaway driver find troubl help neighbor,7.8,nicola wind refn,ryan gosl carey mulligan bryan cranston albert brook
622,American Gangster,2007,biographi crime drama,outcast new york citi cop charg bring harlem drug lord frank luca real life inspir partli biograph film,7.8,ridley scott,denzel washington russel crow chiwetel ejiofor josh brolin
623,Avatar,2009,action adventur fantasi,parapleg marin dispatch moon pandora uniqu mission torn follow order protect world feel home,7.8,jame cameron,sam worthington zoe saldana sigourney weaver michel rodriguez
624,Mr. Nobody,2009,drama fantasi romanc,boy stand station platform train leav mother stay father infinit possibl aris decis long doesnt choos possibl,7.8,jaco van dormael,jare leto sarah polley dian kruger linh dan pham
625,Apocalypto,2006,action adventur drama,mayan kingdom face declin young man taken peril journey world rule fear oppress,7.8,mel gibson,gerardo taracena raoul max trujillo dalia hernández rudi youngblood
626,Little Miss Sunshine,2006,comedi drama,famili determin young daughter final beauti pageant crosscountri trip vw bu,7.8,jonathan dayton,valeri fari steve carel toni collett greg kinnear
627,Hot Fuzz,2007,action comedi mysteri,skill london polic offic transfer small town dark secret,7.8,edgar wright,simon pegg nick frost martin freeman nighi
628,The Curious Case of Benjamin Button,2008,drama fantasi romanc,tell stori benjamin button man start age backward consequ,7.8,david fincher,brad pitt cate blanchett tilda swinton julia ormond
629,Veer-Zaara,2004,drama famili music,veerzaara saga love separ courag sacrific love stori inspir remain legend forev,7.8,yash chopra,shah rukh khan preiti zinta rani mukerji kirron kher
630,Adams æbler,2005,comedi crime drama,neonazi sentenc commun servic church clash blindli devot priest,7.8,ander thoma jensen,ulrich thomsen mad mikkelsen nicola bro paprika steen
631,Pride & Prejudice,2005,drama romanc,spark fli spirit elizabeth bennet meet singl rich proud mr darci mr darci reluctantli find fall love woman beneath class overcom pride prejudic,7.8,joe wright,keira knightley matthew macfadyen brenda blethyn donald sutherland
632,The World's Fastest Indian,2005,biographi drama sport,stori new zealand burt munro spent year rebuild indian motorcycl help set land speed world record utah bonnevil salt flat,7.8,roger donaldson,anthoni hopkin dian ladd iain rea tessa mitchel
633,Tôkyô goddofâzâzu,2003,anim adventur comedi,christma eve homeless peopl live street tokyo discov newborn babi trash set parent,7.8,satoshi kon,shôgo furuya tôru emori yoshiaki umegaki aya okamoto
634,Serenity,2005,action adventur scifi,crew ship seren tri evad assassin sent recaptur member telepath,7.8,joss whedon,nathan fillion gina torr chiwetel ejiofor alan tudyk
635,Walk the Line,2005,biographi drama music,chronicl countri music legend johnni cash life earli day arkansa cotton farm rise fame sun record memphi record alongsid elvi presley jerri lee lewi carl perkin,7.8,jame mangold,joaquin phoenix rees witherspoon ginnif goodwin robert patrick
636,Ondskan,2003,drama,teenag boy expel school fight arriv board school systemat bulli younger student encourag mean maintain disciplin decid fight,7.8,mikael håfström,andrea wilson henrik lundström gustaf skarsgård linda zilliacu
637,The Notebook,2004,drama romanc,poor passion young man fall love rich young woman give sens freedom soon separ social differ,7.8,nick cassavet,gena rowland jame garner rachel mcadam ryan gosl
638,Diarios de motocicleta,2004,adventur biographi drama,dramat motorcycl road trip che guevara went youth show life call,7.8,walter sall,gael garcía bernal rodrigo la serna mía maestro merced morán
639,Lilja 4-ever,2002,crime drama,sixteenyearold lilja friend young boy volodja live russia fantas better life day lilja fall love andrej go sweden invit lilja come start new life,7.8,luka moodysson,oksana akinshina artyom bogucharskiy pavel ponomaryov lyubov agapova
640,Les triplettes de Belleville,2003,anim comedi drama,grandson kidnap tour franc madam souza belov pooch bruno team bellevil sistersan age songandd team day fred astaireto rescu,7.8,sylvain chomet,michèl caucheteux jeanclaud donda michel robin monica viega
641,Gongdong gyeongbi guyeok JSA,2000,action drama thriller,shoot incid northsouth korean borderdmz leav north korean soldier dead neutral swissswedish team investig actual happen,7.8,chanwook park,lee yeonga lee byunghun kangho song kim taewoo
